Authors,Title,Year,Link,DOI,SuggestedInclusion1,SuggestedInclusion2,derived decision,FinalDecision
"PO Siebers, F Klügl ",What software engineering has to offer to agent-based social simulation,2017,https://link.springer.com/chapter/10.1007/978-3-319-66948-9_6,,1. NO,1. NO,1. NO,1. NO
"D Weyns, T Holvoet ",Model for situated multi-agent systems with regional synchronization.,2003,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.84.2694&rep=rep1&type=pdf,,1. NO,1. NO,1. NO,1. NO
"LP Demers, B Vorn ",Real artificial life as an immersive media,1995,https://eprints.qut.edu.au/128668/,,1. NO,1. NO,1. NO,1. NO
"T Seidel, J Hartwig, RL Sanders, D Helbing ",An agent-based approach to self-organized production,2008,https://link.springer.com/chapter/10.1007/978-3-540-74089-6_7,,1. NO,1. NO,1. NO,1. NO
"TQ Chu, A Boucher, A Drogoul, DA Vo… ",Interactive learning of expert criteria for rescue simulations,2008,https://link.springer.com/chapter/10.1007/978-3-540-89674-6_16,,1. NO,1. NO,1. NO,1. NO
"RM Hamou, A Amine, AC Lokbani ",The Social Spiders in the Clustering of Texts: Towards an Aspect of Visual Classification,2012,https://www.igi-global.com/article/the-social-spiders-in-the-clustering-of-texts/81210,,1. NO,1. NO,1. NO,1. NO
"D Meignan, O Simonin, A Koukam ",Multiagent approach for simulation and evaluation of urban bus networks,2006,https://www.academia.edu/download/46395157/Simulation_and_Evaluation_of_Urban_Bus_N20160611-2033-1e45gx7.pdf,,1. NO,1. NO,1. NO,1. NO
"P Marcenac, S Calderoni ",Self-organisation in agent-based simulation,1997,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.46.4158&rep=rep1&type=pdf,,1. NO,1. NO,1. NO,1. NO
AJP Leal,Modelação do sistema rodoviário: perspectiva do conflito emergente,2008,https://repositorio.iscte-iul.pt/bitstream/10071/4505/2/MCC_Ap%C3%AAndices_Disserta%C3%A7%C3%A3o.pdf,,1. NO,1. NO,1. NO,1. NO
R Peinl,Multiagentensimulation der Wissensweitergabe in Organisationen am Beispiel von Individualsoftwareherstellern,2008,https://opendata.uni-halle.de/handle/1981185920/9143,,1. NO,1. NO,1. NO,1. NO
"R Ventura, P Aparicio, C Marques, P Lima… ",ISocRob—Intelligent Society of Robots,1999,https://link.springer.com/chapter/10.1007/3-540-45327-X_89,,1. NO,1. NO,1. NO,1. NO
"S Krivov, A Dahiya, J Ashraf ",From equations to patterns: Logic-based approach to general systems theory,2002,https://www.tandfonline.com/doi/abs/10.1080/03081070290017903,,1. NO,1. NO,1. NO,1. NO
E Ch'Ng ,"Model resolution in complex systems simulation: Agent preferences, behavior, dynamics and n-tiered networks",2013,https://journals.sagepub.com/doi/abs/10.1177/0037549712470582,,1. NO,1. NO,1. NO,1. NO
"V Furtado, A Melo, ALV Coelho… ",Simulating crime against properties using swarm intelligence and social networks,2008,https://www.igi-global.com/chapter/artificial-crime-analysis-systems/5269,,1. NO,1. NO,1. NO,1. NO
"F Andriamasinoro, JM Angel ",Modeling the ultra-pure quartz exploitation in northeastern Madagascar: impact of the activity on the socio-economical situation of the population,2007,https://www.sciencedirect.com/science/article/pii/S1053535705001629,,1. NO,1. NO,1. NO,1. NO
"P Werlang, MQ Fagundes, DF Adamatti… ",Multi-Agent-Based Simulation of Mycobacterium Tuberculosis Growth,2013,https://link.springer.com/chapter/10.1007/978-3-642-54783-6_9,,1. NO,1. NO,1. NO,1. NO
C Le Page,Simulation multi-agent interactive: engager des populations locales dans la modélisation des socio-écosystèmes pour stimuler l'apprentissage social,2017,https://agritrop.cirad.fr/583938,,1. NO,1. NO,1. NO,1. NO
S Bonneaud,Des agents-modèles pour la modélisation et la simulation de systèmes complexes: application à l'écosystémique des pêches,2008,https://tel.archives-ouvertes.fr/tel-00376168/,,1. NO,1. NO,1. NO,1. NO
I Schulz-Schaeffer,Vergesellschaftung und Vergemeinschaftung Künstlicher Agenten: Sozialvorstellungen in der Multiagenten-Foschung,2000,https://www.ssoar.info/ssoar/handle/document/40860,,1. NO,1. NO,1. NO,1. NO
"S Bonneaud, P Redou, P Chevaillier ",Pattern oriented agent-based multi-modeling of exploited ecosystems,2007,https://www.eurosim.info/fileadmin/user_upload_eurosim/EUROSIM_OA/Congress/2007/Contributions/Contribution442.pdf,,1. NO,1. NO,1. NO,1. NO
"AD Rocha, P Barroca, G Dal Maso… ",Environment to simulate distributed agent based manufacturing systems,2016,https://link.springer.com/chapter/10.1007/978-3-319-51100-9_36,,1. NO,1. NO,1. NO,1. NO
"AD Pace, M Campo, A Soria ",Architecting the Design of Multi-agent Organizations with Proto-frameworks,2003,https://link.springer.com/chapter/10.1007/978-3-540-24625-1_5,,1. NO,1. NO,1. NO,1. NO
RMM Ventura… ,Problem solving without search,1998,https://staging-welcome.isr.tecnico.ulisboa.pt/wp-content/uploads/2015/05/670_ruba-emcsr98.pdf,,1. NO,1. NO,1. NO,1. NO
"S Bouarfa, HAP Blom, R Curran ",Airport Performance Modeling using an agent-based Approach,2012,https://www.researchgate.net/profile/Soufiane_Bouarfa/publication/255685727_Airport_performance_modeling_using_an_agent_based_approach/links/5b1fc253458515270fc55c00/Airport-performance-modeling-using-an-agent-based-approach.pdf,,1. NO,1. NO,1. NO,1. NO
"KL Brousmiche, JD Kant, N Sabouret… ",Modelling the impact of beliefs and communication on attitude dynamics: a cognitive agent-based approach,2014,https://hal.archives-ouvertes.fr/hal-01835411/,,1. NO,1. NO,1. NO,1. NO
"H Hamann, T Schmickl, K Crailsheim ",Self-organized pattern formation in a swarm system as a transient phenomenon of non-linear dynamics,2012,https://www.tandfonline.com/doi/abs/10.1080/13873954.2011.601418,,1. NO,1. NO,1. NO,1. NO
"A Sayouti, H Medromi, F Moutaouakil ",Autonomous and intelligent Mobile Systems based on Multi-agent Systems,2011,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.1082.7067&rep=rep1&type=pdf,,1. NO,1. NO,1. NO,1. NO
"T ShaoPeng, Z Jun ",A research on multi agent modeling language,2011,https://www.sciencedirect.com/science/article/pii/S1877705811018443,,1. NO,1. NO,1. NO,1. NO
"N Naciri, M Tkiouat ",Multi-agent systems: theory and applications survey,2015,https://www.inderscienceonline.com/doi/abs/10.1504/IJISTA.2015.074078,,1. NO,1. NO,1. NO,1. NO
GC Loghin,Observer un Environnement Numérique de Travail pour réguler les activités qui s'y déroulent,2008,https://www.theses.fr/2008CHAMS579,,1. NO,1. NO,1. NO,1. NO
高木英至 ,社会科学におけるシミュレーション研究の現状< 解説,1999,https://sucra.repo.nii.ac.jp/?action=repository_action_common_download&item_id=12071&item_no=1&attribute_id=24&file_no=1,,1. NO,1. NO,1. NO,1. NO
UG Ketenci,Modélisation agent de la perception visuelle humaine limitée appliquée à la simulation du comportement des conducteurs en carrefour,2013,https://tel.archives-ouvertes.fr/tel-00879042/,,1. NO,1. NO,1. NO,1. NO
"O Simonin, J Ferber, V Decugis ",Performances analysis in collective systems,1998,https://ieeexplore.ieee.org/abstract/document/699290/,,1. NO,1. NO,1. NO,1. NO
"KL Brousmiche, JD Kant, N Sabouret… ",From field data to attitude formation,2017,https://link.springer.com/chapter/10.1007/978-3-319-47253-9_1,,1. NO,1. NO,1. NO,1. NO
AMC Pereira,Intelligent simulation of coastal ecosystems,2010,https://repositorio-aberto.up.pt/bitstream/10216/59503/1/000143675.pdf,,1. NO,1. NO,1. NO,1. NO
ДА Поспелов ,От моделей коллективного поведения к многоагентным системам,2003,https://cyberleninka.ru/article/n/15550221,,1. NO,1. NO,1. NO,1. NO
Y Kubera,Simulations orientées-interaction des systèmes complexes,2010,https://lilloa.univ-lille.fr/bitstream/handle/20.500.12210/26359/https:/tel.archives-ouvertes.fr/tel-00839390/document?sequence=1,,1. NO,1. NO,1. NO,1. NO
"Y Haradji¹, G Poizat, F Sempé ",L'activité humaine et la conception d'une plateforme de simulation sociale,2012,https://www.researchgate.net/profile/Sebastien_Bruere/publication/261991873_Maitriser_les_effets_du_lean_sur_la_sante_Agir_sur_le_travail_d'organisation_pour_prevenir_les_risques/links/00b49538f62bbb482d000000.pdf#page=41,,1. NO,1. NO,1. NO,1. NO
JK Alt,Learning from Noisy and Delayed Rewards: The Value of Reinforcement Learning to Defense Modeling and Simulation,2012,https://apps.dtic.mil/sti/citations/ADA567384,,1. NO,1. NO,1. NO,1. NO
I Schulz-Schaeffer ,Enrolling software agents in human organisations,2001,https://link.springer.com/chapter/10.1007/978-94-017-1177-7_9,,1. NO,1. NO,1. NO,1. NO
"S Tripodi, P Ballet, V Rodin ",GPU implementation and performance analysis of reactive agents having division and mobility capacities,2012,https://content.iospress.com/articles/multiagent-and-grid-systems/mgs00196,,1. NO,1. NO,1. NO,1. NO
"G Cabri, L Leonardi, M Puviani, UM e Reggio…",Methodologies and infrastructures for agent society simulation: Mapping passi and RoleX,2008,https://www.academia.edu/download/41675538/Methodologies_and_infrastructures_for_ag20160128-23573-1p63kng.pdf,,1. NO,1. NO,1. NO,1. NO
I Schulz-Schaeffer,Enrolling software agents in human organizations: the exploration of hybrid organizations within the socionics research program,2000,https://www.ssoar.info/ssoar/handle/document/1045,,1. NO,1. NO,1. NO,1. NO
N Brax,Self-adaptive multi-agent systems for aided decision-making: an application to maritime surveillance,2013,https://core.ac.uk/download/pdf/20266987.pdf,,1. NO,1. NO,1. NO,1. NO
"DF Adamatti, JS Sichman, H Coelho ",Utilizaç ao de RPG e MABS no Desenvolvimento de Sistemas de Apoioa Decisao em Grupos,2007,http://www.cin.ufpe.br/~if788/072/Utilizacao%20de%20RPG%20e%20Mabs%20em%20sistemas%20de%20Apoio%20a%20Decisao.pdf,,1. NO,1. NO,1. NO,1. NO
C Frank ,Strategien in Post-Merger-Integrationen. Eine experimentelle Turniersimulation,2010,https://ideas.repec.org/b/rai/rhbook/9783866184466.html,,1. NO,1. NO,1. NO,1. NO
L Coquelle ,Simulation de comportements individuels instinctifs d'animaux dans leur environnement,2005,https://www.enib.fr/~tisseau/pdf/phd/lcPhD.pdf,,1. NO,1. NO,1. NO,1. NO
R Lamarche-Perrin,Analyse macroscopique des grands systèmes: émergence épistémique et agrégation spatio-temporelle,2013,https://tel.archives-ouvertes.fr/tel-00933186/,,1. NO,1. NO,1. NO,1. NO
"R Courdier, P Marcenac… ",Zooming on a multiagent simulation system: from the conceptual architecture to the interaction protocol,1998,https://ieeexplore.ieee.org/abstract/document/699238/,,1. NO,1. NO,1. NO,1. NO
JM Durán,Computer simulations in science and engineering,NA,https://link.springer.com/content/pdf/10.1007/978-3-319-90882-3.pdf,,1. NO,1. NO,1. NO,1. NO
"S Landau, S Picault ",Developing agents populations with ethogenetics,2002,https://link.springer.com/chapter/10.1007/978-3-540-45173-0_4,,1. NO,1. NO,1. NO,1. NO
CV Goldman,Multiagent Learning Systems,1999,ftp://ftp.mosix.org/users/clag/phd/clag.ps.gz,,1. NO,1. NO,1. NO,1. NO
"R Ventura, P Aparício, P Lima… ",SocRob-a society of cooperative mobile robots,1998,https://ieeexplore.ieee.org/abstract/document/726516/,,1. NO,1. NO,1. NO,1. NO
"Z Kobti, AW Snowdon, S Rahaman… ",Modeling the effects of social influence on driver behavior in applying child vehicle safety restraint,2006,https://ieeexplore.ieee.org/abstract/document/4273820/,,1. NO,1. NO,1. NO,1. NO
F Mokom,Modeling the evolution of artifact capabilities in multi-agent based simulations,2015,https://scholar.uwindsor.ca/cgi/viewcontent.cgi?article=6700&context=etd,,1. NO,1. NO,1. NO,1. NO
"JAD Pace, FU Triilnik, MR Campo… ",Accomplishing adaptability in simulation frameworks: the Bubble approach,2001,https://ieeexplore.ieee.org/abstract/document/960650/,,1. NO,1. NO,1. NO,1. NO
C Carabelea,Raisonner sur l'autonomie d'un agent au sein de systèmes multi-agents ouverts: une approche basée sur les relations de pouvoir,2007,https://tel.archives-ouvertes.fr/tel-00786141/,,1. NO,1. NO,1. NO,1. NO
JG Quijano,Modèles d'auto-organisation pour l'émergence de formes urbaines à partir de comportements individuels à Bogota,2007,https://tel.archives-ouvertes.fr/tel-00270015/,,1. NO,1. NO,1. NO,1. NO
"F Zhuang, Q He, Z Shi ",Multi-Agent based automatic evaluation system for classification algorithms,2008,https://ieeexplore.ieee.org/abstract/document/4608008/,,1. NO,1. NO,1. NO,1. NO
"DF Adamatti¹, JS Sichman¹, H Coelho",Using RPG and MABS to develop Group Decision Support Systems,2007,http://www2.pcs.usp.br/~jaime/papers/AdamattiSichmanCoelho07-Scientia.pdf,,1. NO,1. NO,1. NO,1. NO
W Ali,"Developping 2D and 3D Multiagent Geosimulation, a Method and Its Application: The Case of Shopping Behavior Geosimulation in Square One Mall (Toronto).",2006,https://www.collectionscanada.gc.ca/obj/s4/f2/dsk3/QQLA/TC-QQLA-23343.pdf?pagewanted=all,,1. NO,1. NO,1. NO,1. NO
"A Sayouti, H Medromi ",Multi-Agents Systems for Remote Control on Internet,2012,https://research.ijais.org/volume3/number6/ijais12-450526.pdf,,1. NO,1. NO,1. NO,1. NO
"S Sawada, H Hattori, M Odagaki, K Nakajima… ",Participatory simulation platform using network games,2008,https://link.springer.com/chapter/10.1007/978-3-540-89674-6_41,,1. NO,1. NO,1. NO,1. NO
SN Willmott,Coordination structures for the intelligent control of dynamic distributed systems,2002,https://infoscience.epfl.ch/record/32954,,1. NO,1. NO,1. NO,1. NO
GM Leask,Two dimensional environment for the DIVAS multi-agent system,2006,https://search.proquest.com/openview/cc9d7e79bd85c0688a7bb901a8a0a9fe/1?pq-origsite=gscholar&cbl=18750&diss=y,,1. NO,1. NO,1. NO,1. NO
S Picault,Modèles de comportements sociaux pour les collectivités d'agents et de robots,2001,https://tel.archives-ouvertes.fr/tel-00851693/,,1. NO,1. NO,1. NO,1. NO
R Courdier,"Simulation Multi-Agents: Architecture, Ingénierie et Expérimentations",2003,https://hal.univ-reunion.fr/tel-01474194,,1. NO,1. NO,1. NO,1. NO
PS Werlang,Simulação da curva de crescimento do mycobacterium tuberculosis utilizando sistemas multiagentes,2013,http://repositorio.furg.br/handle/1/6656,,1. NO,1. NO,1. NO,1. NO
"E Ramat, P Preux, L Seuront, Y Lagadeuc",Multi-agent modeling of the physical/biological coupling| A case study in marine biology,1999,https://www.researchgate.net/profile/Laurent_Seuront/publication/2557728_Multi-Agent_Modeling_of_the_PhysicalBiological_Coupling_-_A_case_study_in_marine_biology/links/0912f50a8c106cb747000000.pdf,,1. NO,1. NO,1. NO,1. NO
"E Platon, M Mamei, N Sabouret, S Honiden… ",Mechanisms for Environments in Multi-Agent Systems,2006,https://www.researchgate.net/profile/Nicolas_Sabouret/publication/220660579_Mechanisms_of_the_Environment_for_Mutli-Agent_Systems_Survey_and_Opportunities/links/02e7e51c1fde7c5501000000/Mechanisms-of-the-Environment-for-Mutli-Agent-Systems-Survey-and-Opportunities.pdf,,1. NO,1. NO,1. NO,1. NO
RK Winder,The influence of collective working memory strategies on agent teams,2007,https://drum.lib.umd.edu/handle/1903/7292,,1. NO,1. NO,1. NO,1. NO
"AD Pace, F Trilnik, M Campo, A Clausse",Object-Oriented Simulation of Fluids using Software Agents,2001,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.11.5790&rep=rep1&type=pdf,,1. NO,1. NO,1. NO,1. NO
MGF Soares,Simulating Drivers' Decision-making Under Information Dissemination,2013,https://repositorio-aberto.up.pt/handle/10216/66943,,1. NO,1. NO,1. NO,1. NO
"SMH Moosavi, A Ismail, CW Yuen ",Using simulation model as a tool for analyzing bus service reliability and implementing improvement strategies,2020,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0232799,,1. NO,1. NO,1. NO,1. NO
A Kebede,The food-water-land-ecosystems nexus in Europe: an integrated assessment,2016,https://eprints.soton.ac.uk/397355/,,1. NO,1. NO,1. NO,1. NO
DF Adamatti ,An Overview of the MABS and RPG Techniques in Natural Resources Management,2009,https://ieeexplore.ieee.org/abstract/document/4769661/,,1. NO,1. NO,1. NO,1. NO
"DS Noël Conruyt, R Courdier, D David… ",Designing an Information System for the Preservation of Insular Tropical Environment in Reunion Island,2009,https://books.google.de/books?hl=de&lr=&id=lU8U3C3jLgIC&oi=fnd&pg=PA61&ots=gtWq76kLmO&sig=KqGnD5JSMF7KND6J0-Itq_TyyhM,,1. NO,1. NO,1. NO,1. NO
LF Toscano ,Desenvolvimento de Modelos de Cooperaçao para uma Sociedade de Agentes,NA,http://socrob-archive.isr.ist.utl.pt/tdps-tfcs/TFC-Toscano.pdf,,1. NO,1. NO,1. NO,1. NO
S Picault,De la simulation multi-agents à la simulation multi-niveaux. Pour une réification des interactions.,2013,https://tel.archives-ouvertes.fr/tel-00968661/document,,1. NO,1. NO,1. NO,1. NO
PG Barroca,Ambiente de simulação para sistemas de manufatura baseados em agentes,2016,https://run.unl.pt/handle/10362/20592,,1. NO,1. NO,1. NO,1. NO
N Ferrand ,Systèmes d'Information pour la Gestion de l'Environnement: apport potentiel et enjeux de nouvelles technologies/Management Support Systems for …,1997,https://www.persee.fr/doc/rga_0035-1121_1997_num_85_2_3912,,1. NO,1. NO,1. NO,1. NO
"KL Brousmiche, JD Kant… ",Modélisation de l'impact des croyances et de la communication sur la formation et la dynamique des attitudes: une approche multi-agents,2014,https://hal.archives-ouvertes.fr/hal-01852249/document,,1. NO,1. NO,1. NO,1. NO
S Picault ,De la simulation multi-agents à la simulation multi-niveaux,2013,http://www.lifl.fr/~spicault/HDR-picault.pdf,,1. NO,1. NO,1. NO,1. NO
"P Aparício, R Ventura, P Lima, C Pinto-Ferreira ",ISocRob—Team Description,1998,https://link.springer.com/chapter/10.1007/3-540-48422-1_42,,1. NO,1. NO,1. NO,1. NO
"MS Satu, MA Yousuf ",Simulation of Artificial Life Modeling with Modified Biogenesis Model in Virtual Ecosystem,2017,https://www.academia.edu/download/55897959/Journal_of_Computer_Science_IJCSIS_March_2017_Part_II.pdf#page=78,,1. NO,1. NO,1. NO,1. NO
"V Sánchez-Anguix, JA García-Pardo… ",Towards Soccer Simulation as a Testbed for Adaptive Systems and Agreement Technologies,2010,https://link.springer.com/chapter/10.1007/978-3-642-12433-4_3,,1. NO,1. NO,1. NO,1. NO
"NGSGF Gechtera, VHA Koukama",Holonic Multilevel Simulation of Complex Systems,NA,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.140.4272&rep=rep1&type=pdf,,1. NO,1. NO,1. NO,1. NO
"D David, R Courdier",SEE EMERGENCE AS A METAKNOWLEDGE,NA,https://www.researchgate.net/profile/Remy_Courdier/publication/221539952_See_Emergence_as_a_Metaknowledge_-_A_Way_to_Reify_Emergent_Phenomena_in_Multiagent_Simulations/links/09e4150867dede1a03000000.pdf,,1. NO,1. NO,1. NO,1. NO
"T Alves, J Rivière, C Alaux, Y Le Conte… ",An Interruptible Task Allocation Model,2020,https://link.springer.com/chapter/10.1007/978-3-030-49778-1_1,,1. NO,1. NO,1. NO,1. NO
DF Adamatti,Multi-Agent-Based Simulation as Interdisciplinary Tool,NA,https://www.academia.edu/download/38702377/IJCS_2015_0205008.pdf,,1. NO,1. NO,1. NO,1. NO
"AC Kurtan, P Yolum ",Assisting humans in privacy management: an agent-based approach,2021,https://link.springer.com/article/10.1007/s10458-020-09488-1,,1. NO,1. NO,1. NO,1. NO
AM Uhrmacher,"Artificial Intelligence Laboratory University of Ulm, D-89069 Ulm lin@ informatik. uni-ulm. de",NA,https://www.researchgate.net/profile/Adelinde_Uhrmacher/publication/238103159_Variable_Structure_Modeling_-_Discrete_Events_in_Simulation/links/5623d01208aed8dd1948c1b9/Variable-Structure-Modeling-Discrete-Events-in-Simulation.pdf,,1. NO,1. NO,1. NO,1. NO
P CHEVAILLIER,NICOLAS BRAX,NA,https://www.irit.fr/publis/SMAC/DOCUMENTS/RAPPORTS/TheseNicolasBrax.pdf,,1. NO,1. NO,1. NO,1. NO
P Janovsky,Large-scale coalition formation: application in power distribution systems,2017,http://krex.k-state.edu/dspace/handle/2097/35328,,1. NO,1. NO,1. NO,1. NO
I SCHULZ-SCHAEFFER ,The Exploration of Hybrid Organisations within the Socionics Research Program,2002,https://books.google.de/books?hl=de&lr=&id=P02X59i79IkC&oi=fnd&pg=PA149&ots=JlMFf1mPhK&sig=DqlH7cLhUiwJovzwRkTg4h3EJLc,,1. NO,1. NO,1. NO,1. NO
R Gruetzner ,Individual-oriented modelling and simulation for the analysis of complex environmental systems,1997,https://link.springer.com/chapter/10.1007/978-1-5041-2869-8_41,,1. NO,1. NO,1. NO,1. NO
F Scherjon,Virtual Neanderthals: a study in agent-based modelling Late Pleistocene hominins in western Europe,NA,https://openaccess.leidenuniv.nl/bitstream/handle/1887/73639/01.pdf?sequence=4,,1. NO,1. NO,1. NO,1. NO
R Jayaraman,Modeling the Evolution of Agent Capabilities and Specialization,2020,https://scholar.uwindsor.ca/cgi/viewcontent.cgi?article=9378&context=etd,,1. NO,1. NO,1. NO,1. NO
"S Manzoni, G Vizzari ","Modelling, Simulating and Visualizing Complex Dynamics with SCA platform",2009,https://www.academia.edu/download/41645933/An_Unifying_View_of_Probabilistic_Relati20160127-17475-rx0mnz.pdf#page=48,,1. NO,1. NO,1. NO,1. NO
"P Werlang, MQ Fagundes, DF Adamatti… ",Estimation of Parameters of Mycobacterium tuberculosis Growth: A Multi-Agent-Based Simulation Approach,2014,https://link.springer.com/chapter/10.1007/978-3-319-12027-0_48,,1. NO,1. NO,1. NO,1. NO
"F Furaiji, M Łatuszyńska ",Experimental Study of Consumer Behavior Using Agent-Based Simulation,2017,https://link.springer.com/chapter/10.1007/978-3-319-99187-0_13,,1. NO,1. NO,1. NO,1. NO
SJ Lee,Agent-Based Household Energy Consumption Model for the City of Regina,2012,http://ourspace.uregina.ca/handle/10294/3565,,1. NO,1. NO,1. NO,1. NO
"A Lopez-Mobilia, P Perez, C Drennon, L Elder",Developing Agents to Model Social Situations and Foreclosure Patterns in a Multi-Agent System,NA,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.158.7243&rep=rep1&type=pdf,,1. NO,1. NO,1. NO,1. NO
Y Chen,Agent-based recreation experiences simulation in a 3D virtual environment,2013,https://minerva-access.unimelb.edu.au/handle/11343/38008,,1. NO,1. NO,1. NO,1. NO
"V DECUGIS, J FERBER",Using Agents and Multi-Agent Systems for Integration in Robotics,1998,https://www.researchgate.net/profile/Jacques_Ferber/publication/228969084_Using_Agents_and_Multi-Agent_Systems_for_Integration_in_Robotics/links/004635151e05232ea2000000/Using-Agents-and-Multi-Agent-Systems-for-Integration-in-Robotics.pdf,,1. NO,1. NO,1. NO,1. NO
P VI,Replication heuristics for agents fault tolerance: a plan-based approach,NA,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.330.2422&rep=rep1&type=pdf,,1. NO,1. NO,1. NO,1. NO
"J Haber, BOK Intelligentie, R Valenti",Modeling Distributed Cybernetic Management for Resource Based Economies,2015,https://staff.fnwi.uva.nl/b.bredeweg/pdf/BSc/20142015/Haber.pdf,,1. NO,1. NO,1. NO,1. NO
"S Picault, S Landau ",Ethogenetics: an Evolutionary Approach to Agents Organization,2001,https://www.researchgate.net/profile/Samuel_Landau/publication/2379078_Ethogenetics_an_Evolutionary_Approach_to_Agents_Organization/links/55f4891108ae63926cf26ec7.pdf,,1. NO,1. NO,1. NO,1. NO
ÂMH Veiga,A multiagent based shop floor transportation system simulator,2013,https://run.unl.pt/handle/10362/10415,,1. NO,1. NO,1. NO,1. NO
E Schumacker Soares,Detecting Anomalous Collective Behaviours in Simulated Multi-Agent Environments,2020,https://era.library.ualberta.ca/items/b4f43b1f-3486-4601-8bb4-8780d842b88a,,1. NO,1. NO,1. NO,1. NO
D Guo,Large-Scale Simulations for Complex Adaptive Systems with Application to Biological Domains,2007,https://vtechworks.lib.vt.edu/handle/10919/26403,,1. NO,1. NO,1. NO,1. NO
"FO de Sousa, AO de Paiva, LA Santana… ",2.5. Artigo V: Predicting the occurrence of sepsis by in silico simulation,2014,https://www.locus.ufv.br/bitstream/123456789/2681/1/texto%20completo.pdf#page=67,,1. NO,1. NO,1. NO,1. NO
"SFG Louro, E da Costa Oliveira, LP Reis…",MAICC–Sistema Multi-Agente para Controlo de Câmaras Inteligentes,NA,https://www.academia.edu/download/30813308/Tese_Camaras.pdf,,1. NO,1. NO,1. NO,1. NO
T Vallée,De la manipulation dans les systèmes multi-agents: une étude sur les jeux hédoniques et les systèmes de réputation,2015,https://hal.archives-ouvertes.fr/tel-01258934/,,1. NO,1. NO,1. NO,1. NO
S Allongue,"Methodes de modelisation pour l'interoperabilite des mondes virtuels, fondees sur les ontologies et des mecanismes d'apprentissage",1998,https://www.theses.fr/1998PA066382,,1. NO,1. NO,1. NO,1. NO
MÉ FLEURY,Analyse macroscopique des grands systèmes,2013,http://polaris.imag.fr/jean-marc.vincent/index.html/PhD/Lamarche-Perrin.pdf,,1. NO,1. NO,1. NO,1. NO
F Palaci,Contribution ergonomique à l'analyse prospective d'innovations technico-organisationnelles dans les systèmes complexes,2014,https://www.theses.fr/2014TROY0032,,1. NO,1. NO,1. NO,1. NO
"R Courdier, F Guerrin, F Hary, JMP Andriamasinoro",Simulation agent de la gestion collective d'effluents d'élevages,NA,http://lim.univ-reunion.fr/staff/courdier/old/pdfs/nat_ATP2002_GC02b.pdf,,1. NO,1. NO,1. NO,1. NO
DEM LE DIPLOME,MODELE MULTI-AGENTS POUR L'AIDE A LA DECISION DE GROUPE,2012,https://theses.univ-oran1.dz/document/TH3939.pdf,,1. NO,1. NO,1. NO,1. NO
"M Łatuszyńska, M Borawski ",Zastosowanie obiektów abstrakcyjnych w wieloagentowej symulacji komputerowej,2010,http://bazekon.icm.edu.pl/bazekon/element/bwmeta1.element.ekon-element-000171307581,,1. NO,1. NO,1. NO,1. NO
"J Erceau, P Benhamou ",Antagonism and Identity,1994,https://www.tandfonline.com/doi/abs/10.1080/02604027.1994.9972497,,1. NO,1. NO,1. NO,1. NO
L Faucher,PRÉSENTATION DU PROJET DE RECHERCHE,NA,https://dic.uqam.ca/upload/files/DIC9411/ziedprojet.pdf,,1. NO,1. NO,1. NO,1. NO
"S Picault, V Sicard ",Les meilleurs agents sont ceux qu'on ne simule pas: vers des architectures de simulation multi-paradigmes?,2020,https://hal.inrae.fr/hal-02899918,,1. NO,1. NO,1. NO,1. NO
"R Miroud, O Kazar",Une Approche de simulation participative à base d'agents pour la négociation dans le e-commerce,2010,http://bib.univ-oeb.dz:8080/jspui/handle/123456789/572,,1. NO,1. NO,1. NO,1. NO
МП Иванов,Съвременно приложение на многоагентните симулационни модели в изследванията и в практиката,2017,http://eprints.nbu.bg/3389/,,1. NO,1. NO,1. NO,1. NO
"KL Brousmiche, JD Kant, N Sabouret, F Prenot-Guinard ",Simulation multi-agent de dynamiques d'attitudes basée sur des données réelles.,2016,https://perso.limsi.fr/sabouret/ps/jfsma2016-kei.pdf,,1. NO,1. NO,1. NO,1. NO
RL Cagnin,Uma abordagem de multiagentes brownianos para a modelagem e simulação da dinâmica das populações no contágio da esquistossomose,2012,https://repositorio.unesp.br/bitstream/handle/11449/118453/cagnin_rl_tcc_rcla.pdf?sequence=1,,1. NO,1. NO,1. NO,1. NO
S MOUJAHED,THÈSE EN CO-TUTELLE,2007,http://www.lalea.fr/papers/Moujahed2007PhD.pdf,,1. NO,1. NO,1. NO,1. NO
"F Harrouet, F Bourdon, P Even, L Marcé, P Reignier",l'Université de Bretagne Occidentale,NA,http://jeree.enib.fr/~tisseau/pdf/phd/fhPhD.pdf,,1. NO,1. NO,1. NO,1. NO
A POPESCU-BELIS,UFR SCIENTIFIQUE D 'ORSAY,1999,http://andreipb.free.fr/textes/apb-these-1999.pdf,,1. NO,1. NO,1. NO,1. NO
